crate_name, repository, forks, stars, watchers, subscribers, archived, last_edit, total_crate_downloads, reverse_dep_count, has_toml
ed25519-dalek, https://github.com/dalek-cryptography/ed25519-dalek, 197, 553, 553, 23, false, 2022-11-21 22:23:05 UTC, 8247560, 258, true
wasmparser, https://github.com/bytecodealliance/wasm-tools/tree/main/crates/wasmparser, 120, 541, 541, 30, false, 2022-11-24 00:25:49 UTC, 8017803, 70, true
jpeg-decoder, https://github.com/image-rs/jpeg-decoder, 80, 123, 123, 9, false, 2022-10-31 03:58:33 UTC, 7871069, 28, true
typed-arena, https://github.com/SimonSapin/rust-typed-arena, 52, 381, 381, 12, false, 2022-08-02 11:53:04 UTC, 7363654, 72, true
gif, https://github.com/image-rs/image-gif, 43, 119, 119, 48, false, 2022-11-17 17:16:52 UTC, 7050548, 57, true
bytecount, https://github.com/llogiq/bytecount, 21, 177, 177, 8, false, 2022-11-05 09:57:01 UTC, 6909773, 64, true
chunked_transfer, https://github.com/frewsxcv/rust-chunked-transfer, 11, 18, 18, 2, false, 2022-09-09 22:10:08 UTC, 6541247, 7, true
uint, https://github.com/paritytech/parity-common, 179, 211, 211, 41, false, 2022-11-24 10:34:19 UTC, 6447374, 85, true
tracing-opentelemetry, https://github.com/tokio-rs/tracing, 459, 3197, 3197, 43, false, 2022-11-25 01:04:22 UTC, 6313462, 52, true
bs58, https://github.com/mycorrhiza/bs58-rs, 20, 57, 57, 3, false, 2022-11-07 12:01:25 UTC, 6057216, 237, true
